new_step_RH1,new_step_Temp1,within_limits,flag_internal_temp
82.8,29.03,True,0
84.0,28.86,True,0
84.64,28.76,True,0
84.0,28.73,True,0
84.26,28.62,True,0
83.19,28.95,True,0
81.43,29.75,True,0
79.63,30.37,True,0
77.34,30.52,True,0
77.29,30.42,True,0
77.1,30.19,True,0
76.39,29.91,True,0
76.09,29.92,True,0
78.03,29.56,True,0
77.44,29.42,True,0
76.06,29.72,True,0
77.15,29.6,True,0
76.69,29.35,True,0
77.29,29.38,True,0
79.5,28.9,True,0
84.23,28.48,True,0
83.38,28.22,True,0
82.3,28.31,True,0
82.04,28.41,True,0
82.67,28.29,True,0
83.76,28.03,True,0
87.63,27.69,True,0
89.06,27.34,True,0
89.8,27.18,True,0
90.38,27.16,True,0
89.11,27.32,True,0
90.41,27.18,True,0
91.22,26.96,True,0
91.73,26.9,True,0
92.43,26.86,True,0
90.87,27.01,True,0
88.13,27.66,True,0
86.06,28.48,True,0
81.51,29.17,True,0
80.03,29.6,True,0
78.24,30.16,True,0
76.11,30.61,True,0
72.72,31.32,True,0
71.83,32.06,True,0
66.56,32.68,True,0
66.99,32.71,True,0
65.13,33.21,True,0
64.52,33.52,True,0
62.18,34.16,True,0
61.18,34.62,True,0
58.03,35.9,True,0
57.85,35.35,True,0
57.01,35.53,True,0
54.86,36.08,True,0
52.55,36.31,True,0
48.62,36.91,True,0
47.62,36.55,True,0
52.05,36.68,True,0
47.0,36.39,True,0
50.39,36.56,True,0
50.41,36.71,True,0
49.85,36.97,True,0
49.05,36.89,True,0
47.71,37.32,True,0
48.88,37.63,True,0
49.98,37.51,True,0
48.03,37.48,True,0
49.32,37.74,True,0
47.56,37.72,True,0
45.9,37.79,True,0
50.76,37.36,True,0
49.78,37.45,True,0
51.36,33.96,True,0
48.14,34.61,True,0
46.6,34.75,True,0
51.72,34.2,True,0
53.1,33.84,True,0
50.96,33.89,True,0
53.09,32.82,True,0
54.35,32.64,True,0
52.69,32.51,True,0
60.06,32.31,True,0
63.74,31.63,True,0
65.92,30.93,True,0
67.05,30.38,True,0
69.21,30.32,True,0
64.88,30.47,True,0
63.62,31.06,True,0
61.67,30.91,True,0
62.58,30.76,True,0
61.76,30.75,True,0
65.14,30.73,True,0
66.2,30.41,True,0
69.88,30.01,True,0
68.81,29.62,True,0
72.13,29.44,True,0
70.06,29.67,True,0
70.6,29.98,True,0
71.49,29.92,True,0
71.48,30.34,True,0
70.14,30.26,True,0
68.3,30.19,True,0
68.25,30.22,True,0
68.43,30.2,True,0
69.88,30.17,True,0
71.46,30.06,True,0
71.57,30.01,True,0
72.22,29.93,True,0
73.06,29.79,True,0
73.45,29.8,True,0
74.11,29.64,True,0
74.27,29.56,True,0
76.97,29.28,True,0
77.98,29.02,True,0
78.55,28.97,True,0
77.05,29.07,True,0
76.81,29.05,True,0
77.31,28.93,True,0
76.26,28.94,True,0
75.58,28.94,True,0
76.06,28.85,True,0
76.17,28.82,True,0
76.97,28.7,True,0
77.74,28.57,True,0
78.48,28.48,True,0
79.76,28.33,True,0
80.65,28.13,True,0
80.88,28.12,True,0
81.6,27.98,True,0
82.86,27.83,True,0
83.31,27.79,True,0
83.72,27.71,True,0
82.49,27.95,True,0
83.44,27.99,True,0
81.93,28.46,True,0
78.87,29.11,True,0
76.68,29.57,True,0
77.7,29.67,True,0
74.92,29.97,True,0
73.2,30.82,True,0
69.5,31.46,True,0
69.85,31.84,True,0
71.9,31.44,True,0
70.69,32.14,True,0
69.72,32.67,True,0
67.91,33.19,True,0
67.71,33.46,True,0
66.83,33.72,True,0
65.74,33.91,True,0
64.96,34.46,True,0
64.54,34.75,True,0
56.73,34.88,True,0
53.53,35.57,True,0
57.15,35.59,True,0
55.55,35.7,True,0
54.51,35.66,True,0
59.28,35.69,True,0
57.01,35.94,True,0
53.14,36.04,True,0
52.12,36.22,True,0
45.9,36.4,True,0
49.3,36.54,True,0
48.96,36.47,True,0
50.14,36.43,True,0
51.08,36.53,True,0
55.76,36.49,True,0
53.41,36.34,True,0
55.86,36.06,True,0
54.44,36.08,True,0
54.83,36.06,True,0
55.71,35.86,True,0
55.11,35.79,True,0
55.06,35.63,True,0
54.74,35.68,True,0
53.92,35.6,True,0
56.18,35.31,True,0
56.47,34.9,True,0
58.16,34.21,True,0
60.0,33.77,True,0
63.27,33.12,True,0
65.82,32.53,True,0
65.17,32.57,True,0
64.42,32.34,True,0
66.23,32.2,True,0
69.93,31.62,True,0
70.3,31.14,True,0
72.92,30.96,True,0
72.96,30.51,True,0
75.83,29.93,True,0
78.8,29.48,True,0
80.68,29.12,True,0
81.45,28.89,True,0
81.82,28.74,True,0
80.86,28.58,True,0
81.34,28.93,True,0
82.21,28.68,True,0
83.75,28.38,True,0
85.42,28.19,True,0
84.72,28.09,True,0
84.83,27.95,True,0
83.49,28.08,True,0
77.89,28.75,True,0
78.0,29.26,True,0
78.46,29.08,True,0
79.27,29.04,True,0
78.86,29.2,True,0
79.53,29.16,True,0
80.04,28.84,True,0
79.31,28.67,True,0
78.89,28.6,True,0
78.85,28.55,True,0
79.24,28.48,True,0
80.02,28.45,True,0
80.87,28.2,True,0
80.83,28.17,True,0
80.97,28.15,True,0
82.71,27.67,True,0
84.15,27.32,True,0
86.63,27.04,True,0
88.24,26.7,True,0
90.29,26.44,True,0
89.16,26.36,True,0
87.75,26.77,True,0
86.38,27.29,True,0
85.97,27.33,True,0
85.83,27.24,True,0
85.53,27.28,True,0
85.85,27.3,True,0
83.29,27.7,True,0
81.57,28.23,True,0
82.25,28.48,True,0
82.76,28.68,True,0
80.81,29.02,True,0
76.9,29.82,True,0
73.86,30.53,True,0
72.62,31.28,True,0
70.75,31.82,True,0
69.8,32.6,True,0
66.32,33.11,True,0
59.33,33.69,True,0
59.01,34.31,True,0
59.19,34.48,True,0
53.78,35.07,True,0
54.9,35.67,True,0
52.45,35.53,True,0
55.34,35.12,True,0
54.36,35.22,True,0
53.66,35.37,True,0
53.03,35.76,True,0
55.39,35.48,True,0
51.64,35.82,True,0
54.84,36.14,True,0
51.53,36.21,True,0
49.97,36.11,True,0
47.93,36.14,True,0
49.79,36.22,True,0
49.43,36.54,True,0
50.26,36.58,True,0
48.53,36.44,True,0
48.71,36.81,True,0
49.84,36.89,True,0
47.19,36.84,True,0
47.47,36.96,True,0
